INPUT_TABLE,,,,
Variable ID,,,,
PrimaryRenewKeyword,,,,
,,,,
sector.name,subsector.name,technology,year,primary.renewable
electricity,offshore wind,offshore_wind_storage_3,1975,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,1990,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2005,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2010,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2015,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2020,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2025,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2030,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2035,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2040,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2045,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2050,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2055,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2060,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2065,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2070,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2075,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2080,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2085,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2090,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2095,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_3,2100,offshore-wind-elect
