INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechOMvar,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,input.OM.var,OM.var
electricity,offshore wind,offshore wind 4,1975,OM-var,2.28
electricity,offshore wind,offshore wind 4,1990,OM-var,2.28
electricity,offshore wind,offshore wind 4,2005,OM-var,2.28
electricity,offshore wind,offshore wind 4,2010,OM-var,0
electricity,offshore wind,offshore wind 4,2015,OM-var,0
electricity,offshore wind,offshore wind 4,2020,OM-var,0
electricity,offshore wind,offshore wind 4,2025,OM-var,0
electricity,offshore wind,offshore wind 4,2030,OM-var,0
electricity,offshore wind,offshore wind 4,2035,OM-var,0
electricity,offshore wind,offshore wind 4,2040,OM-var,0
electricity,offshore wind,offshore wind 4,2045,OM-var,0
electricity,offshore wind,offshore wind 4,2050,OM-var,0
electricity,offshore wind,offshore wind 4,2055,OM-var,0
electricity,offshore wind,offshore wind 4,2060,OM-var,0
electricity,offshore wind,offshore wind 4,2065,OM-var,0
electricity,offshore wind,offshore wind 4,2070,OM-var,0
electricity,offshore wind,offshore wind 4,2075,OM-var,0
electricity,offshore wind,offshore wind 4,2080,OM-var,0
electricity,offshore wind,offshore wind 4,2085,OM-var,0
electricity,offshore wind,offshore wind 4,2090,OM-var,0
electricity,offshore wind,offshore wind 4,2095,OM-var,0
electricity,offshore wind,offshore wind 4,2100,OM-var,0
